"K_Value","lm","rf","xgbTree","gbm","knn","gam","pls","svmRadial","cubist"
3,17.1554831638772,15.4627500980203,16.2115530971186,16.1822434201895,16.068967462815,16.4869155126175,17.3845692625752,16.376476198267,15.5608550781867
5,16.0584770480388,14.293650982223,15.0091684233038,14.988539872661,14.7907422508346,15.3422483810689,16.3285846592433,15.1535589996032,14.3959705396766
7,15.447197466585,13.5780499432525,14.3190173051235,14.3177802173887,14.0588492289421,14.7141241464779,15.7772597291965,14.4313640549682,13.652627173314
9,15.0799212990656,13.167551820114,13.9248477855199,13.9312615157124,13.7007771711071,14.3233727634849,15.4166045898327,14.0502169161358,13.2024947441272
11,14.8652311376985,12.9597653219465,13.6825699728383,13.6927920577534,13.417889084109,14.0909770451122,15.1946983062707,13.8334169429262,12.9807583982575
13,14.7246594674898,12.7281084756422,13.4845449854985,13.4987990495356,13.2440335345166,13.925259006405,15.0886120111174,13.6574136685131,12.7824630125012
15,14.5795140280123,12.5515756475923,13.3190351136495,13.3345446528658,13.0712844806417,13.7794520857719,14.9681497465767,13.509968821668,12.6037967257438
17,14.4827441503285,12.4409577354102,13.2232658926346,13.228936008059,12.9890916546447,13.7016313418356,14.8703920541208,13.4271575648923,12.5042863094396
19,14.4273937729506,12.374780391914,13.1586160618531,13.1679390108954,12.8969604783241,13.6223613515313,14.8260241919539,13.3483666727134,12.4329946608932
21,14.3793303026876,12.2751846110567,13.0870639475683,13.0973523838607,12.8141490553823,13.5515231955886,14.7870244829408,13.285904951414,12.3428893479388
23,14.2971927156133,12.1911982024565,13.0194315951089,13.0309324598435,12.7255693106588,13.4733788784225,14.7141365555129,13.2147027718224,12.2617812305591
25,14.2249304642747,12.129806317179,12.9514757514569,12.9604313639323,12.6592127666901,13.3925063712229,14.6458870266621,13.1314454461331,12.1990029087093
27,14.1639773872368,12.0746614036523,12.8956284200744,12.9064097850481,12.6092887951757,13.3299091890279,14.5882461579524,13.0638754475507,12.1457601748815
29,14.1460535801771,12.0554408078837,12.8634806333132,12.8711060196706,12.5662571124047,13.2973284163486,14.587642713249,13.0243060965569,12.1080721951408
31,14.1133690873055,12.0069849999967,12.8179693151221,12.8271922354889,12.5134655452875,13.2530137050763,14.5640254363787,12.9723571146763,12.0595710066409
33,14.0645043935336,11.9602548691604,12.765277117376,12.7754917938512,12.4531893084183,13.2037555244138,14.5226401026421,12.9146322893794,12.0171580276601
35,14.0133939393974,11.9038110373585,12.7070883208584,12.7207325309854,12.3772526625483,13.146363523937,14.4777556223961,12.8469584431031,11.9590106257962
37,13.9725633287333,11.8692708804389,12.6672006864876,12.6855364277644,12.326668717166,13.1037274691381,14.4394505208526,12.8014285523565,11.9349969076807
