"K_Value","lm","rf","xgbTree","gbm","knn","gam","gwr","svmRadial","cubist"
29,14.1460535801771,12.0554408078837,12.8634806333132,12.8711060196706,12.5662571124047,13.2973284163486,12.0510274627935,13.0243060965569,12.1080721951408
31,14.1133690873055,12.0069849999967,12.8179693151221,12.8271922354889,12.5134655452875,13.2530137050763,12.0044790529355,12.9723571146763,12.0595710066409
33,14.0645043935336,11.9602548691604,12.765277117376,12.7754917938512,12.4531893084183,13.2037555244138,11.9600039518356,12.9146322893794,12.0171580276601
35,14.0133939393974,11.9038110373585,12.7070883208584,12.7207325309854,12.3772526625483,13.146363523937,11.8894372268586,12.8469584431031,11.9590106257962
37,13.9725633287333,11.8692708804389,12.6672006864876,12.6855364277644,12.326668717166,13.1037274691381,11.8579859087254,12.8014285523565,11.9349969076807
39,13.9432619197483,11.848378293092,12.6337918527083,12.6526994853291,12.2971358920526,13.0707727377314,11.823989828253,12.7631887894986,11.918026280755
41,13.9073238013549,11.795518089734,12.5910648130065,12.6125090379367,12.2530668752914,13.0297445199099,11.7709014273032,12.7200667916258,11.8693001041356
43,13.8724935576705,11.744242182514,12.5454231728167,12.569751998808,12.2190095650121,12.9894505467486,11.7233892776684,12.6745540982928,11.8235084503836
45,13.853844225917,11.7196269350742,12.5163898915052,12.5405002737995,12.1907380330989,12.9624577879879,11.6898251827498,12.6447939268126,11.7965744185695
47,13.8169404686462,11.6813106039185,12.4786479834242,12.5028137818914,12.1534231807841,12.9246538591849,11.6528088839541,12.6039792876831,11.7589805135929
49,13.796226050346,11.6610866219862,12.4535357346954,12.4784737212005,12.1311532551613,12.8981441064989,11.6353912367583,12.5749793734201,11.7362907689635
51,13.7745409316653,11.6276041750731,12.4276558841772,12.4555990510321,12.1053965997496,12.8741441728411,11.6074875451439,12.5434981058891,11.706431009678
53,13.7677012952857,11.6100302384952,12.4119030894698,12.4402395523493,12.084747165582,12.8585350050221,11.5951491978868,12.5240681157161,11.6869061810663
55,13.7478419240917,11.5856052710105,12.3834023342799,12.4116727327298,12.0557188447617,12.8316128868031,11.5698617395233,12.4931771702506,11.658147681026
57,13.7576211373335,11.5772076218316,12.3783880008883,12.4046191802265,12.0491402142069,12.8296584725765,11.5615220454176,12.4868608542982,11.6466743739566
59,13.7408753092189,11.5472030032565,12.3512172920223,12.3792543235699,12.0274918913915,12.8050257181546,11.5374235745584,12.4620194506615,11.6219020806269
61,13.7248395218172,11.5306077752402,12.3369959839915,12.3657911311939,12.014377227538,12.789408554667,11.5229558318131,12.4460238521218,11.609806973944
63,13.7266746658578,11.5205960760299,12.3299606456848,12.3590372027464,12.0109876091164,12.7847951788761,11.5155135267608,12.4402123096559,11.600989325974
65,13.7198628745101,11.5004390716807,12.3196647979828,12.3505922221789,11.9969608314948,12.7772033260591,11.4984062697472,12.4340018353713,11.5863370263757
67,13.7137267860292,11.4860598435714,12.3063359683072,12.3382832680294,11.9880871805689,12.7643496666558,11.4875960422873,12.4223463729059,11.5739584882422
69,13.7063089631542,11.4716959017454,12.2953769941657,12.3272519178648,11.9711473134983,12.7552532763239,11.4798214992144,12.4117101172206,11.5604777672917
71,13.6944851412673,11.4528184721464,12.2777389850897,12.310514426287,11.9558564532321,12.7402450354775,11.4669595169984,12.391909963762,11.5416796134857
73,13.6935937143594,11.4423337120055,12.2712965014734,12.3039196838714,11.9467206144122,12.7365656068492,11.4623781376794,12.3872330668942,11.5322782471462
75,13.6894666482879,11.429467655313,12.2601432700644,12.2920517122633,11.9332225679331,12.7308495449983,11.4512758573597,12.3788038485259,11.5199825137481
77,13.6709858783747,11.4054384718714,12.2372872597651,12.2707629433411,11.9120044495335,12.7097066294028,11.4339203956615,12.3578872694497,11.498906839279
79,13.6680213526886,11.4058277382033,12.2333415641349,12.2661243183597,11.9091015304713,12.7095797748905,11.4300586510516,12.3572916417245,11.4963331426496
81,13.6686928220262,11.4022154254257,12.2277629666468,12.2620899647108,11.9018917852713,12.7083007114481,11.4293436530246,12.3549608369852,11.4933362352023
83,13.6520718199725,11.3911411920018,12.2155071619041,12.2497015696464,11.8884042368753,12.6939222153064,11.4193467097414,12.3434038747441,11.4843671587142
85,13.6332681636182,11.3728158404643,12.1988476153777,12.2337950402744,11.8705481722289,12.6757315417325,11.4047942044987,12.3267835598483,11.4692140735474
87,13.6191288371276,11.3568994901703,12.1855812171868,12.2205280190003,11.861047987814,12.6609537061959,11.3938539442209,12.3131310118994,11.4572206563443
89,13.6045838321413,11.339201940445,12.1710236850961,12.2069407247957,11.8494231509882,12.6456649621113,11.3820295066967,12.3002170354375,11.4422409652531
91,13.5854727601748,11.3207072466178,12.1568871374097,12.1934538798905,11.8341960470446,12.6284649948745,11.3733875505606,12.2866778425082,11.4275170473477
93,13.571540763415,11.3066351633874,12.1481112433634,12.1848560620873,11.8237414206567,12.6167317539451,11.3651406230281,12.2779129398766,11.4153686246371
95,13.554949019601,11.2926625757635,12.1367373932516,12.1731458082253,11.8116408002333,12.6014867205219,11.3537604872595,12.2645505570394,11.4033004158243
97,13.5402461812769,11.278690207846,12.1264919710421,12.1622831249103,11.8010808003744,12.5889773741062,11.3451101534422,12.2550634796174,11.3908397339977
99,13.5247756420641,11.2600577320969,12.1135175917427,12.1495797416363,11.786586191447,12.5749894900866,11.3347910412051,12.2407709861395,11.3761027454239
101,13.5110019628086,11.2461859386842,12.1048978667765,12.1401531865415,11.7766140631762,12.5633220147378,11.328188060225,12.2324145006731,11.3666997729572
