"ID","longitude","latitude","x_proj","y_proj","richness_true","residuals","local_error_variance","abs_residual"
176,148.6408633,-26.99843087,1626904.82248899,-3032751.40271097,28.37224827,0.225886782537611,63.42290168126,0.225886782537611
177,148.6588596,-27.02105673,1628324.24792684,-3035497.21725223,13.24038253,-11.1171965554965,61.2523512961156,11.1171965554965
184,146.7076312,-28.1826492,1423531.77727673,-3141526.5052837,39.52847075,4.69775834851965,308.141547355486,4.69775834851965
188,146.7318662,-28.15876826,1426175.30154928,-3139135.47184914,67.98896969,33.9993831641063,308.141547355486,33.9993831641063
189,146.7320289,-28.15885885,1426189.81315051,-3139147.38350221,52.17758139,18.1879948641063,308.141547355486,18.1879948641063
190,146.7058809,-28.17072083,1423516.81476723,-3140177.67352256,60.08327554,33.818716532721,308.141547355486,33.818716532721
194,146.5957425,-28.11411182,1413626.08661412,-3132645.72401205,23.71708245,-10.947171919855,308.141547355486,10.947171919855
197,146.6300261,-28.12195377,1416831.48433097,-3133899.51078435,45.85302607,9.72761212541934,308.141547355486,9.72761212541934
199,146.6290307,-28.12126503,1416744.33576659,-3133811.7112346,34.78505426,1.95790963998022,308.141547355486,1.95790963998022
202,146.599644,-28.09433607,1414255.28896287,-3130484.81101063,39.52847075,5.92319113269933,308.141547355486,5.92319113269933
205,146.6048193,-28.11540205,1414484.84961475,-3132889.99117707,44.27188724,14.9290863501103,308.141547355486,14.9290863501103
208,146.6137409,-28.08904151,1415682.68127659,-3130050.84487754,49.01530373,9.06670844486901,308.141547355486,9.06670844486901
210,146.5994304,-28.09428128,1414235.38874763,-3130476.33989966,39.52847075,5.03084849935395,308.141547355486,5.03084849935395
218,146.7564377,-28.17043191,1428392.66018571,-3140709.76938657,41.10960958,9.69712601200765,308.141547355486,9.69712601200765
219,146.7566412,-28.17054059,1428410.86572273,-3140724.15570994,20.55480479,-10.8576787779924,308.141547355486,10.8576787779924
221,146.7572701,-28.15367926,1428689.48623363,-3138852.19975719,22.13594362,-8.97943702797306,308.141547355486,8.97943702797306
225,144.7717791,-29.09778793,1226590.04257698,-3223513.21027698,23,1.32029046070724,60.9542197379728,1.32029046070724
226,148.9837241,-27.13793447,1658154.89465163,-3052673.28881871,17.96909057,-1.02700801085073,61.1537807513253,1.02700801085073
228,145.1010833,-29.20169554,1256913.57926612,-3238308.29427197,35,0.832167343554048,53.7762976688403,0.832167343554048
233,145.0815053,-29.1849853,1255233.41375107,-3236251.49194257,41,3.00982054782155,53.1827205293742,3.00982054782155
235,150.4832864,-26.36807083,1816028.80531318,-2987539.37751253,22.69779862,-4.82687098688941,62.9731394430903,4.82687098688941
237,149.0936335,-27.07147858,1669816.15017152,-3046716.15111908,31.2094731,13.3269444119071,67.1305721850357,13.3269444119071
245,146.8494386,-28.17251556,1437327.39677418,-3141985.01938836,42.69074841,20.1173147210872,308.141547355486,20.1173147210872
247,146.810984,-28.18953794,1433401.06342249,-3143449.77865476,64.82669203,16.9339665608743,308.141547355486,16.9339665608743
248,146.8216096,-28.1900848,1434417.68705219,-3143629.97598143,18.97366596,-25.7794954017014,308.141547355486,25.7794954017014
250,146.8104256,-28.18842685,1433361.68177113,-3143319.70262757,15.8113883,-23.8776883329134,308.141547355486,23.8776883329134
254,146.837703,-28.16597562,1436281.6019525,-3141124.29701224,47.4341649,30.6865392099296,308.141547355486,30.6865392099296
255,146.8376641,-28.1647479,1436293.81378492,-3140987.05545965,9.486832981,-9.68568446006048,308.141547355486,9.68568446006048
265,145.0159789,-29.21905669,1248579.01959152,-3239410.75044097,11,-7.91163869348489,57.6671734935737,7.91163869348489
268,145.0675912,-29.26835578,1252948.21271738,-3245416.31082069,42,17.1706104272679,57.6671734935737,17.1706104272679
280,146.838264,-28.19260596,1435989.45363108,-3144098.00371816,36.36619309,10.0723036946522,308.141547355486,10.0723036946522
282,145.1230494,-29.23782727,1258598.06583136,-3242555.55398509,12,-7.31278041333492,52.6483781564657,7.31278041333492
283,145.0827792,-29.25737709,1254525.2480448,-3244340.51792067,28,6.05132475732738,57.6671734935737,6.05132475732738
285,145.0952799,-29.22910628,1256044.18943448,-3241309.31184047,40,14.2321740402058,52.5301896867838,14.2321740402058
286,145.0776969,-29.25403778,1254077.87318176,-3243918.06925674,21,-3.15222151833124,57.6671734935737,3.15222151833124
293,150.2227858,-26.5477701,1787744.0416995,-3003811.78835739,7.952707288,-12.842836970073,62.9192525996301,12.842836970073
298,150.5161038,-26.48591321,1817321.8023568,-3001084.1449476,36.88392275,9.5002961782206,56.2087729018177,9.5002961782206
308,150.3192386,-26.98586126,1790119.63594404,-3053800.24209023,21.47230968,0.660606983521944,52.2037590522616,0.660606983521944
310,150.2710254,-26.91538017,1786567.39080963,-3045300.15275881,18.29122676,-1.35743157133551,52.2037590522616,1.35743157133551
312,143.8042278,-29.93167965,1125314.97671078,-3307686.19562237,21,-0.00635589779599854,27.198574537109,0.00635589779599854
313,143.8084404,-29.94340508,1125594.09586752,-3309032.24317793,31,10.4867835182103,27.198574537109,10.4867835182103
320,149.7561187,-27.16230925,1732710.98937874,-3065632.80122813,25.53502344,5.62223711337422,48.3601900468892,5.62223711337422
321,148.7083757,-27.67303063,1623598.35591935,-3108644.59791535,13.24038253,-8.51603024152424,83.2451642089033,8.51603024152424
322,148.6975602,-27.66877738,1622615.564082,-3108034.10430838,19.86057379,-4.3774000644926,83.2451642089033,4.3774000644926
324,150.5742719,-26.60536674,1821049.64442809,-3015169.29041568,15.90541458,-11.3287989086406,56.2087729018177,11.3287989086406
325,150.0100089,-27.04153083,1759227.07257062,-3055686.43746387,24.65339259,2.04119563052436,54.3183814527578,2.04119563052436
329,150.2902,-26.993225,1787183.61566866,-3054211.24756278,22.26758041,0.423992511655882,52.2037590522616,0.423992511655882
330,150.2887282,-26.99529231,1787007.70182882,-3054420.18756189,22.26758041,0.403475705505798,52.2037590522616,0.403475705505798
332,150.8445152,-26.53235406,1848557.21411364,-3010949.03646218,12.29464092,-15.5162028205256,59.7343421162293,15.5162028205256
348,143.6038212,-30.58816635,1099588.80570129,-3379214.53059414,19.59591794,1.70550143818694,29.4615170635083,1.70550143818694
349,143.6371791,-30.59085987,1102713.64145053,-3379802.6233477,15.51343504,-2.11297239168354,28.0518403079967,2.11297239168354
355,146.186043,-29.17615147,1360910.01722994,-3246575.61344804,20,-3.62354141309317,37.0732593039326,3.62354141309317
356,146.1855769,-29.19870263,1360585.22470182,-3249084.31607912,13,-6.08103667694617,37.6195908396153,6.08103667694617
360,146.2994279,-29.17092639,1371807.54950684,-3247205.88619333,18,-1.85959365573891,36.1166130115248,1.85959365573891
367,146.3070063,-29.16489176,1372607.17534214,-3246614.69793848,12,-8.42690177362302,36.1166130115248,8.42690177362302
377,146.2005469,-29.2644149,1361197.62740628,-3256568.2214231,28,6.11878907636466,35.999138063837,6.11878907636466
380,146.2164689,-29.26857053,1362665.77842031,-3257201.13960601,25,3.21202199945701,36.8345158194329,3.21202199945701
388,146.2466865,-29.27320276,1365492.35525459,-3258040.07295667,25,7.64923322109766,36.527860650192,7.64923322109766
389,146.2578396,-29.26396022,1366672.34215294,-3257129.20739056,27,6.28255177673007,35.8186546671861,6.28255177673007
